NOME	REGIME	ANO	NÚMERO	CURSO
Nicole Duarte	trabalhador-estudante	1	5685	CONT
Sarah Melo	trabalhador-estudante	1	5486	TDM
Barbara da Paz	trabalhador-estudante	1	5344	EE
Francisco Ferreira	trabalhador-estudante	2	4433	EM
Cecilia Pereira	trabalhador-estudante	2	5176	GI
Stella Rodrigues	trabalhador-estudante	3	3381	EE
Leandro Lima	normal	1	4578	EM
Thiago Correia	normal	3	4364	MKT
Ana Luiza Costa	normal	2	5048	CONT
Lais da Luz	normal	1	5424	EC
Giovanna Ribeiro	Trabalhador-estudante	2	5299	EM
Gabriela da Luz	Trabalhador-estudante	3	3215	EE
Eduarda Mendes	Trabalhador-estudante	2	4683	MKT
Lucas Gabriel Novaes	Trabalhador-estudante	2	5266	TDM
Diogo Peixoto	Trabalhador-estudante	2	4474	GI
Agatha Farias	Trabalhador-estudante	3	5895	EM
Antonio Correia	Trabalhador-estudante	1	3808	GE
Rodrigo da Rocha	Trabalhador-estudante	1	5627	EE
Catarina Azevedo	dasaga	2	3824	TDMO
Juliana Castro	Normal	2	3300	EI
Maria Sophia Sales	Normal	2	4278	EI
Eduarda Nunes	NORMAL	3	5987	TDM
Agatha Jesus	Trabalhador-estudante	1	3258	GI
Joana Araujo	Dirigente Associativo	1	4065	EM
Maria Vitoria Moura	Normal	2	3760	CONT
Kamilly Alves	normal	3	4920	TUR
Diego da Mota	normal	2	3666	EA
Maria Vitoria Moura	normal	1	5447	EI
Ana Vitoria Cardoso	normal	1	4858	GE
Eduardo Mendes	normal	2	5829	EA
Lucas Gabriel da Paz	normal	2	3334	GI
Erick Ramos	normal	2	3433	CONT
Vitor Hugo Silva	normal	2	3491	EM
Lucas Gabriel Silva	normal	1	5314	EC
Daniela da Mota	normal	2	3104	GI
Joao Pedro Mendes	normal	3	4817	TUR
Ana Carolina Fogaca	normal	1	5102	TDMO
Davi Lucas Monteiro	normal	1	3097	TUR
Valentina Monteiro	normal	1	3844	TUR
Enzo Gabriel da Rocha	normal	2	3625	TUR
Andre Jesus	normal	1	3796	GI
Amanda da Rocha	normal	1	5096	EE
Caue da Luz	normal	2	4708	EA
Marcelo Goncalves	normal	3	5653	EE
Barbara da Rosa	normal	1	3270	MKT
Luiz Gustavo Jesus	normal	3	5652	GE
Ana Martins	normal	1	4599	TUR
Davi Lucca das Neves	normal	3	3200	EA
Yasmin Costa	normal	3	4160	EE
Emanuella Fogaca	normal	3	3319	EE
Danilo Porto	normal	3	4273	GE
Carolina Fernandes	normal	2	3258	GE
Maria Clara Cunha	normal	1	4975	EM
Pedro Miguel Rezende	normal	1	3424	GE
Lorenzo Dias	normal	2	4945	EA
Eduardo da Cunha	normal	2	4528	MKT
Melissa Fogaca	normal	3	3433	EM
Sophie Rezende	normal	3	3891	TDM
Otavio Alves	normal	2	3019	TDM
Ana Carolina Novaes	normal	2	5202	EC
Luiz Gustavo Nunes	normal	2	3863	TDMO
Diego Ribeiro	normal	1	4891	MKT
Enrico Aragao	normal	1	3670	TDMO
Alicia Correia	normal	3	4072	EI
Marcelo Nascimento	normal	1	3531	MKT
Maria Eduarda Dias	normal	1	3649	EC
Gabriela Rezende	normal	3	3293	EA
Paulo Jesus	normal	3	3986	GI
Diogo Mendes	normal	2	5137	EE
Pietra da Rosa	normal	2	4616	EE
Guilherme Jesus	normal	2	4854	EE
Fernando Correia	normal	2	4540	EA
Joao Vitor Lima	normal	3	4435	EI
Ana Clara da Rocha	normal	1	3091	EM
Raquel Caldeira	normal	1	5056	MKT
Luna Souza	normal	3	4258	GI
Murilo Pereira	normal	1	4602	EC
Levi Jesus	normal	2	4833	MKT
Alexandre Novaes	normal	1	3207	GE
Laura Lopes	normal	1	4924	TDMO
Rafael Duarte	normal	2	5975	MKT
Daniela Correia	normal	3	5862	TDMO
Emanuelly Nascimento	normal	1	3153	EM
Davi Lucca Rocha	normal	3	4710	GE
Maria Cecilia Gomes	normal	1	4892	TDMO
Igor Novaes	normal	1	4894	TDMO
Clarice da Mata	normal	1	3381	TDMO
Enzo das Neves	normal	2	4032	EC
Raul Jesus	normal	3	5147	GE
Lucca Carvalho	normal	1	4482	TDMO
Juliana Rezende	normal	1	4731	EA
Calebe da Rocha	normal	1	5765	TDM
Clarice Ramos	normal	2	4422	CONT
Sarah Costa	normal	1	3625	EA
Ana Julia Nunes	normal	1	3195	CONT
Laura da Conceicao	normal	3	3346	TUR
Igor da Costa	normal	1	4220	TDM
Joao Miguel Rezende	normal	1	5441	EM
Joao Guilherme Pereira	normal	3	4828	EA
Mariane Monteiro	normal	3	4666	MKT
Raul da Paz	normal	2	5855	EE
Joaquim da Luz	normal	2	3294	GI
Diogo Cardoso	normal	1	5327	EC
Maria Eduarda Monteiro	normal	2	4150	GI
Ana Laura Dias	normal	3	3077	GI
Emanuelly Carvalho	normal	1	3819	EE
Lucca Alves	normal	1	4817	GI
Thales Barbosa	normal	3	4944	GE
Enzo Gabriel Pires	normal	2	3932	GE
Maria Julia Araujo	normal	3	5024	MKT
Marcelo Gomes	normal	3	3306	EE
Maria Luiza Fogaca	normal	2	3424	TUR
Vitoria Moura	normal	1	3699	CONT
Yasmin Rodrigues	normal	2	4937	TUR
Diogo Goncalves	normal	2	5802	EM
Carlos Eduardo Freitas	normal	2	5498	MKT
Bernardo Gomes	normal	2	5488	TDMO
Maria Eduarda Caldeira	normal	3	3262	EE
Rebeca Lopes	normal	2	5989	MKT
Heitor Barbosa	normal	2	3379	TUR
Levi Ribeiro	normal	1	3919	EC
Maria Eduarda da Cruz	normal	2	3937	MKT
Ana Sophia da Mata	normal	3	4296	CONT
Joao Lucas Rezende	normal	3	4588	EA
Otavio Costela	normal	3	5900	EE
Renan Costela	normal	1	3067	EA
Miguel Pires	normal	2	5441	TUR
Rafael Caldeira	normal	2	4772	EC
Isadora Barbosa	normal	1	4575	TDMO
Heloisa Pereira	trabalhador-estudante	3	4839	TDM
Carlos Eduardo Mendes	trabalhador-estudante	3	5957	EA
Isis da Conceicao	trabalhador-estudante	3	5180	EM
Danilo Aragao	trabalhador-estudante	3	4246	CONT
Maria Fernanda Silva	trabalhador-estudante	1	5850	GE
Isabella Ramos	trabalhador-estudante	3	4447	TUR
Maria Luiza Rocha	trabalhador-estudante	3	4221	EM
Isadora Costela	trabalhador-estudante	3	4791	GI
Amanda Ribeiro	trabalhador-estudante	2	4685	TDM
Alana Cardoso	trabalhador-estudante	3	3233	EM
Maria Sophia Dias	trabalhador-estudante	3	5495	EE
Stella Souza	trabalhador-estudante	1	4016	EC
Fernando Pires	trabalhador-estudante	1	4314	EM
Beatriz Barros	trabalhador-estudante	2	5551	EI
Davi Porto	trabalhador-estudante	1	5039	EE
Kevin Novaes	trabalhador-estudante	1	3302	MKT
Joao Lucas Novaes	trabalhador-estudante	3	4907	TDMO
Larissa Costa	fdsgd	1	3520	MKT
Lucca Fogaca	Erasmus	2	3840	EM
Maysa Monteiro	Erasmus	3	3759	GI
Amanda Pinto	Erasmus	2	4809	TDMO
Kaique Dias	normal	1	3357	GE
Joao Felipe Araujo	normal	3	3677	TDM
Davi Luiz da Luz	normal	3	3931	MKT
Juan Santos	normal	3	4068	GE
Marina Barros	normal	2	5899	TDMO
Luiz Felipe Rocha	normal	2	3932	TUR
Alana Pereira	normal	3	3643	EE
Danilo Fogaca	normal	2	5617	TDM
Danilo da Rocha	normal	3	3920	EA
Marina da Rosa	normal	1	3174	CONT
Marcos Vinicius Novaes	normal	2	3149	EA
Vicente Costa	Erasmus	1	3819	EM
Lais Carvalho	normal	2	3187	TDMO
Caue Rezende	normal	3	4612	EE
Luna Peixoto	normal	3	4158	CONT
Alexandre Mendes	normal	3	3236	EM
Ana Sophia Melo	normal	3	4424	GI
Yuri Cardoso	normal	2	3839	GI
Eduarda Lopes	normal	3	3899	MKT
Rafaela da Cruz	normal	1	3410	TDM
Marcela da Rosa	normal	3	3943	TUR
Pietra Goncalves	normal	3	4997	CONT
Maria Fernanda Lopes	normal	1	5016	TDMO
Camila da Costa	normal	2	4426	EM
Nathan Novaes	normal	1	3634	GE
Maria Alice Teixeira	normal	1	5077	EC
Enrico Monteiro	normal	1	3416	EI
Alicia Viana	normal	1	5658	CONT
Elisa Lima	normal	2	5494	EE
Paulo Novaes	normal	2	4043	TDM
Thiago da Cruz	normal	1	3543	TDM
Lavinia Barbosa	normal	1	5469	EE
Eduarda Lima	normal	3	5398	GI
Rodrigo Campos	normal	1	5238	TDMO
Maysa da Luz	normal	1	5825	CONT
Pietra da Luz	normal	3	3211	CONT
Maria Vitoria da Luz	normal	2	5419	TUR
Ana Sophia Rezende	normal	2	5758	EM
Kaique da Rocha	normal	3	3913	MKT
Vitor Gabriel Peixoto	normal	1	3300	TDMO
Sabrina Peixoto	normal	1	4694	CONT
Thomas Novaes	normal	1	3110	TDMO
Luiz Fernando da Luz	normal	1	3057	EI
Vinicius Caldeira	normal	1	3920	EC
Davi Duarte	normal	1	4609	TDM
Bryan Rocha	normal	1	4507	EC
Alice Correia	normal	3	5759	GI
Esther Costa	normal	2	5116	EM
Clara Sales	normal	2	4884	TDMO
Pietra Cunha	normal	2	3038	TUR
Noah Pires	normal	2	5995	TUR
Luana Lima	normal	2	4794	EA
Diego Fogaca	normal	1	5411	TDM
Raquel Silva	normal	2	5260	TUR
Theo Peixoto	normal	3	4269	EI
Mariane Mendes	normal	2	5464	EI
Julia Costa	normal	3	3802	MKT
Fernanda da Rosa	normal	3	3532	EI
Isaac Fogaca	normal	2	4348	EE
Lara Campos	normal	3	3823	GI
Caue Sales	normal	2	5469	EE
Vitor Gabriel Nogueira	normal	3	4125	TUR
Ana Julia Goncalves	normal	2	5097	GE
Clara Costa	normal	2	3249	EM
Ana da Cunha	normal	2	5884	EI
Maysa da Mota	normal	2	3780	GI
Eduardo Souza	normal	2	3491	MKT
Maysa Nogueira	normal	1	4361	EM
Isaac da Rocha	normal	1	4936	EE
Lavinia Monteiro	normal	2	3036	GI
Diego Pereira	normal	1	5879	EA
Ana Luiza Almeida	normal	2	3426	TDMO
Levi Caldeira	normal	2	3511	EI
Elisa Lopes	normal	2	4017	EC
Davi Luiz da Cruz	normal	1	3572	CONT
Isabel Goncalves	normal	1	3105	EC
Maria Fernanda Duarte	normal	1	4657	CONT
Joaquim Nogueira	normal	1	5690	EE
Gabriela da Luz	normal	1	5120	CONT
Larissa Moura	normal	3	3417	GI
Joao Miguel da Luz	normal	3	3370	TDMO
Isadora Silveira	normal	1	4984	GE
Diego Caldeira	normal	2	3720	TDMO
Maria Eduarda Santos	normal	1	3830	EI
Natalia Ramos	normal	2	5501	GE
Anthony Barbosa	normal	3	5779	TUR
Enzo Gabriel Ribeiro	normal	1	4627	EC
Arthur Cavalcanti	normal	2	5951	GI
Murilo Cardoso	normal	3	3925	TDMO
Manuela Costela	normal	2	3756	EC
Pietro Cavalcanti	normal	2	4600	CONT
Beatriz Monteiro	normal	2	5424	GE
Sophie Teixeira	normal	1	5178	GE
Renan Nogueira	normal	2	5780	GI
Leandro da Mata	normal	2	5003	CONT
Caue da Paz	normal	2	3909	TDM
Isaac Almeida	normal	1	5160	TDM
Rodrigo da Conceicao	normal	1	4492	GE
Matheus Dias	normal	1	3805	MKT
Vinicius Moraes	normal	2	5151	MKT
Lucas Gabriel Costela	normal	3	3904	TDM
Ana Julia Silveira	normal	3	3590	CONT
Renan Vieira	normal	2	3844	EI
Lorena Nunes	normal	1	4391	EE
Isaac Teixeira	normal	3	3098	EA
Pedro Miguel da Mota	normal	1	3528	CONT
Luiz Gustavo Costa	normal	2	4634	CONT
Diogo Silva	normal	2	5885	GE
Stephany Moreira	normal	2	3488	TUR
Maria Vitoria Farias	normal	2	5950	TUR
Luna da Cunha	normal	2	3561	MKT
Marina Pinto	normal	1	5062	TDM
Livia da Paz	normal	1	3264	EA
Bruno Freitas	normal	2	4558	EM
Amanda Barros	normal	3	5296	TDM
Emanuel Cavalcanti	normal	3	3325	TDMO
Lavinia Silveira	normal	1	4608	EA
Fernando Rocha	normal	3	4661	TDMO
Paulo Santos	normal	1	5669	EA
Ana Laura Cunha	normal	2	3131	TDM
Arthur Fernandes	normal	3	4090	TDMO
Amanda Nunes	normal	3	4214	CONT
Pietra da Rosa	normal	1	4742	MKT
Enrico Barros	normal	3	5442	MKT
Joao Miguel Lopes	normal	3	3043	GE
Lavinia Lopes	normal	3	5131	TDMO
Pedro Henrique Sales	normal	1	4710	EE
Pietro Pires	normal	1	3011	MKT
Bianca Moraes	normal	1	5524	EI
Davi Lucca Farias	normal	3	5569	EC
Maria Sophia Pereira	normal	2	5602	TDMO
Eduarda Cardoso	normal	3	3108	CONT
Isabella Moura	normal	1	3177	TDMO
Antonio Sales	normal	2	3890	EC
Levi Silveira	normal	2	5514	CONT
Melissa Fogaca	normal	3	5744	TDMO
Maria Jesus	normal	1	5612	GE
Ian Pires	normal	1	3470	EI
Maria Vitoria da Mata	normal	2	4861	TUR
Bruna Silveira	normal	2	5766	EC
Joao Felipe Pinto	normal	3	4257	TDM
Guilherme Nunes	normal	3	5110	EC
Igor da Mata	normal	3	5582	GI
Carolina Freitas	normal	1	5517	GI
Bianca Silveira	normal	1	5646	TDMO
Sarah Alves	normal	2	4196	EI
Larissa Azevedo	normal	2	5540	TUR
Natalia da Conceicao	normal	3	4655	GI
Bernardo Lima	normal	1	3573	EI
Enrico Cardoso	normal	2	4120	TDM
Agatha Ferreira	normal	3	4163	MKT
Anthony Martins	normal	1	4414	EI
Gustavo Porto	normal	2	3460	EA
Olivia Freitas	normal	1	5259	EM
Julia Pires	normal	3	4345	EE
Joana Porto	normal	3	5932	EI
Ian Novaes	normal	3	5153	EC
Elisa Moura	normal	2	3070	EM
Vitor Gabriel Rodrigues	normal	3	4389	TDM
Bruna Teixeira	normal	2	5974	EE
Gustavo Henrique Farias	normal	3	5143	EM
Giovanna da Mota	normal	1	4178	GI
Kaique Costa	normal	2	4902	MKT
Livia Correia	normal	3	4213	EA
Kamilly Porto	normal	1	4530	EC
Erick Nogueira	normal	1	3148	GE
Fernando Campos	normal	1	5853	GI
Yuri Azevedo	normal	1	3051	EI
Luigi Pires	normal	3	4541	GI
Stella da Cunha	normal	1	4854	EM
Davi Luiz Duarte	normal	3	4523	TDMO
Ana Clara Azevedo	normal	1	4347	GI
Guilherme das Neves	normal	2	5145	EA
Gabrielly Dias	normal	1	4511	TDM
Raquel Nogueira	normal	3	4397	EI
Maria Cecilia Nascimento	normal	3	5395	CONT
Julia da Mata	normal	3	3607	EI
Calebe das Neves	normal	3	3287	EC
Rebeca Alves	normal	2	3551	EM
Thiago Viana	normal	3	3133	TUR
Bianca Ferreira	normal	2	3454	EA
Lavinia Sales	normal	3	4389	TDM
Maria Clara Farias	normal	3	3275	TUR
Vitor Cardoso	normal	2	5494	EC
Isis Silva	normal	1	3980	TUR
Luna Cardoso	normal	1	3011	CONT
Livia Silveira	normal	1	5222	TUR
Arthur Peixoto	normal	3	3118	EM
Emanuelly Melo	normal	1	5382	EA
Pedro Lucas Fernandes	normal	3	3909	GI
Samuel Barros	normal	1	3644	TDMO
Augusto Souza	normal	1	3840	TDM
Francisco Silva	normal	2	3579	EA
Nicolas Porto	normal	1	4594	CONT
Lorenzo da Conceicao	normal	3	4683	EI
Ian Moura	normal	1	5945	CONT
Maria Clara Freitas	normal	2	4102	CONT
Joao Guilherme Farias	normal	1	5623	EE
Maria Eduarda Oliveira	normal	2	5529	TDMO
Erick Rezende	normal	2	4902	TDM
Lorena Pinto	normal	2	4860	TDMO
Marcos Vinicius da Rocha	normal	2	3678	GI
Valentina Fogaca	normal	3	3147	MKT
Cecilia Rezende	normal	2	4903	TUR
Juliana Moreira	normal	2	3139	TUR
Bernardo Pires	normal	1	5954	GE
Ana Teixeira	normal	1	5849	EA
Isaac Cardoso	normal	3	4992	EC
Benjamin da Mata	normal	1	5506	GE
Levi Moura	normal	3	4877	EM
Luiz Felipe da Conceicao	normal	3	5647	TDMO
Sarah Carvalho	normal	2	5590	TDM
Marcelo Rocha	normal	3	5248	EI
Isis da Mata	normal	1	4264	EC
Rodrigo Silva	normal	1	4856	MKT
Maria Eduarda Cardoso	normal	2	4958	TDM
Leticia Rocha	normal	3	4276	MKT
Davi Lucca Rodrigues	normal	3	5971	EC
Pietra Nascimento	normal	3	3496	EI
Erick Fernandes	normal	2	5296	EA
Joao Gabriel Gomes	normal	3	4275	EI
Matheus da Rocha	normal	2	3535	TUR
Caua Vieira	normal	2	6000	MKT
Joao Miguel Campos	normal	2	5504	TDM
Raul Mendes	normal	3	3138	EC
Bruna Fogaca	normal	3	4569	MKT
Ana Livia Alves	normal	3	3997	CONT
Lucas da Rosa	normal	1	4712	GE
Isabella Peixoto	normal	1	5164	TDM
Marina Costa	normal	3	3662	EA
Lucas Alves	normal	3	4466	TUR
Larissa Pereira	normal	1	5692	EA
Augusto da Luz	normal	2	3732	TDM
Lais Cardoso	normal	1	3739	GE
Yasmin da Paz	normal	2	4452	EA
Danilo Gomes	normal	1	5231	GI
Gustavo Henrique Rocha	normal	3	4770	CONT
Clarice da Cruz	normal	3	5588	TUR
Gabriela Cavalcanti	normal	1	5961	TUR
Samuel Martins	normal	1	4558	GE
Antonio Alves	normal	2	4977	EI
Fernando Viana	normal	2	5122	TUR
Vitor da Cunha	normal	1	5284	EA
Vinicius Pereira	normal	3	4858	EC
Mariana da Mota	normal	3	3184	TDM
Samuel da Mata	normal	2	5888	GI
Vitoria da Conceicao	normal	1	5323	EI
Nina Dias	normal	1	4518	CONT
Thomas Pinto	normal	1	4832	MKT
Caroline Alves	normal	2	3011	EM
Larissa Alves	normal	2	5397	TDM
Leticia Cunha	normal	3	5419	GE
Ana Clara Cardoso	normal	2	4991	MKT
Guilherme Sales	normal	2	4265	MKT
Alexia Fogaca	normal	3	5351	TDM
Francisco Fernandes	normal	1	5776	EC
Bianca Ramos	normal	3	3495	MKT
Fernanda Farias	normal	1	5769	GE
Ana Julia Souza	normal	3	4153	EA
Ana Costela	normal	2	4421	MKT
Caio Teixeira	normal	1	4369	GE
Kevin das Neves	normal	3	3970	TUR
Emanuella Santos	normal	3	4498	EE
Vinicius Correia	normal	1	4630	EC
Davi Luiz Fogaca	normal	3	3524	TUR
Paulo Carvalho	normal	1	5246	EM
Maysa Moreira	normal	3	5836	GI
Agatha Azevedo	normal	3	3382	EA
Carlos Eduardo das Neves	normal	1	4057	GI
Alice Lima	normal	3	5711	GE
Enrico Lima	normal	3	5716	MKT
Mariana Santos	normal	3	4323	EC
Erick da Cunha	normal	1	4974	TUR
Enzo Gabriel Silva	normal	1	4502	EE
Lara Correia	normal	2	4095	EE
Emanuel Nunes	normal	1	4070	MKT
Fernando Costela	normal	2	5348	EM
Pietro Mendes	normal	3	5562	MKT
Ana Teixeira	normal	2	5009	MKT
Vinicius Porto	normal	1	4335	GI
Stella Araujo	normal	1	4894	TDMO
Joao Gabriel da Rosa	normal	2	5696	GE
Isabella da Rosa	normal	1	5475	TDMO
Maite Moura	normal	1	5232	TUR
Milena da Paz	normal	1	4385	EI
Amanda Santos	normal	1	3618	EI
Esther Silva	normal	1	5874	GE
Joao Lucas Cardoso	normal	2	4709	EC
Sarah Duarte	normal	3	4185	TDMO
Gustavo Henrique Porto	normal	3	4621	CONT
Ana Julia Nunes	normal	2	4268	GI
Lucas Gabriel Araujo	normal	2	3048	MKT
Kamilly Pires	normal	1	3222	GE
Bruno Lopes	normal	3	5465	CONT
Marcela Novaes	normal	3	5509	TDMO
Joao Pedro Pires	normal	2	3664	EA
Benjamin da Rosa	normal	1	3124	GE
Augusto Freitas	normal	2	3451	EA
Ana Sophia Nogueira	normal	1	5882	GI
Henrique Pinto	normal	3	5023	TUR
Luiz Felipe da Costa	normal	1	5972	MKT
Matheus Nogueira	normal	3	5203	GI
Leonardo Cardoso	normal	1	4429	EA
Isaac Ferreira	normal	1	4726	GI
Marcelo Martins	normal	2	5828	EA
Thomas Barros	normal	3	5331	TDM
Elisa da Costa	normal	1	5605	MKT
Catarina Rezende	normal	2	3073	TDM
Daniel Nogueira	normal	1	4980	GI
Joao Guilherme da Paz	normal	1	5466	TUR
Catarina da Rosa	normal	2	3109	EA
Erick Dias	normal	1	5250	EE
Lorenzo das Neves	normal	1	3013	MKT
Joao Guilherme Pinto	normal	1	5265	EM
Sarah Costela	normal	2	3194	EE
Davi Luiz Moreira	normal	1	5375	EM
Stephany Cavalcanti	normal	3	5453	GI
Isabelly Martins	normal	3	5804	TDMO
Lucca Fernandes	normal	3	4640	EA
Joana Campos	normal	1	4885	MKT
Thiago Souza	normal	2	5277	EC
Calebe Costa	normal	3	5777	EA
Alexandre da Mata	normal	1	5496	CONT
Gustavo Henrique Barbosa	normal	3	4972	TDMO
Eduarda Gomes	normal	2	5910	TDM
Heloisa Pinto	normal	3	4481	EI
Diogo Martins	normal	1	4452	TUR
Lais Monteiro	normal	2	4466	EC
Rodrigo Ribeiro	normal	1	5698	CONT
Pedro Moraes	normal	3	5002	GE
Maria Eduarda Ramos	normal	1	5192	TDM
Joaquim Moraes	normal	2	5376	TUR
Joaquim das Neves	normal	3	4985	EI
Brenda da Mata	normal	1	3324	CONT
Ana Julia Viana	normal	1	3746	MKT
Nina Pereira	normal	3	4573	MKT
Joana Correia	normal	3	3344	EI
Leticia da Cunha	normal	1	5279	CONT
Luna Correia	normal	3	4739	MKT
Luiza Correia	normal	3	3537	EE
Sofia Fogaca	normal	1	5021	GE
Luna Moura	normal	1	5163	MKT
Joao Pedro Ferreira	normal	2	4563	EM
Yago da Paz	normal	2	5825	GE
Lucas Moreira	normal	3	4382	EM
Pietro Pereira	normal	2	5830	TUR
Henrique da Costa	normal	1	5138	TDM
Lucca Nogueira	normal	3	4085	MKT
Gustavo Porto	normal	2	3606	TDM
Danilo Caldeira	normal	3	4166	EM
Benjamin Silveira	normal	1	5795	EI
Emanuel da Cunha	normal	3	5202	TDMO
Nicolas Teixeira	normal	3	3274	TDM
Nicole Melo	normal	1	4101	TDM
Caua Caldeira	normal	3	4865	MKT
Nicolas Costela	normal	1	3520	EC
Vitor Gabriel Goncalves	normal	1	3628	EI
Antonio Souza	normal	1	3982	GI
Fernando Silva	normal	1	3663	CONT
Maria Clara Freitas	normal	1	4302	GI
Samuel Araujo	normal	2	5470	TDM
Bruna Pereira	normal	3	4855	EE
Camila Carvalho	normal	1	4019	TUR
Daniel Costa	normal	2	5920	TDM
Stephany Moura	normal	1	3047	MKT
Ana Julia Almeida	normal	1	3401	EE
Guilherme Teixeira	normal	1	3074	EA
Murilo Fogaca	normal	3	3407	MKT
Diogo Araujo	normal	3	4906	EI
Joao Lucas Souza	normal	2	5188	GI
Alice Monteiro	normal	3	5159	GE
